,digital_score,Name,ws_ranks
181,0.06262633528532119,Rush Enterprises,0.7689
182,0.025554424168148307,Zimmer Biomet Holdings,0.749
183,0.0018715916292164957,American Financial Group,0.4829
184,0.09285973852651074,KB Home,0.5772
185,0.18787900585596357,O-I Glass,0.6622
186,0.24330691179814443,Microchip Technology,0.7704
187,0.0012237329883338624,Brunswick,0.756
188,0.0,Chemours,0.5879
189,0.0002994546606746393,RPM International,0.5766
190,0.0011517486949024589,Core & Main,0.7692
191,0.00820620945118002,Schneider National,0.7634
192,0.03311277497844569,KBR,0.5726
193,0.0027354031503933397,Cornerstone Building Brands,0.8064
194,0.0019435759226478992,Silgan Holdings,0.7671
195,1.0797644014710552,Sprouts Farmers Market,0.6136
196,0.026634188569619358,PENN Entertainment,0.5817
197,2.5194502700991284,Academy Sports and Outdoors,0.6359
198,0.0006118664941669312,Post Holdings,0.7171
199,0.0,Bright Health Group,0.7593
200,0.0025914345635305322,Greif,0.5982
201,0.008854068092062652,Ryerson Holding,0.5968
202,6.67294400109112,Ralph Lauren,0.5774
203,0.007198429343140367,CACI International,0.8472
205,0.0023034973898049178,Ametek,0.7816
206,0.0016556387489222845,Rocket Companies,0.5765
207,0.0004189485877707694,Crestwood Equity Partners,0.7662
208,0.007198429343140367,Prologis,0.5895
209,0.01079764401471055,Insperity,0.5906
210,0.0034552460847073765,Marvell Technology,0.6408
211,0.01079764401471055,Skyworks Solutions,0.5774
212,0.0,Roper Technologies,0.7732
213,0.015836544554908807,Hanover Insurance Group,0.8223
214,2.533847128785409,Big Lots,0.7135
215,0.002447465976667725,Moody's,0.7618
216,0.5420417295384696,Mattel,0.4278
217,0.137490000453981,Keysight Technologies,0.5848
218,0.0,Telephone & Data Systems,0.4829
219,0.0038871518452957983,Hub Group,0.7573
220,0.006406602115394926,ArcBest,0.5776
221,0.0027354031503933397,IAC,0.7539
222,0.041822874483645536,Globe Life,0.5772
223,0.0020875445095107064,Nexstar Media Group,0.852
224,0.002231513096373514,Leggett & Platt,0.5584
225,0.03959136138727202,JELD-WEN Holding,0.7634
226,0.10797644014710552,Equifax,0.7614
227,0.0,OneMain Holdings,0.7534
228,0.009357958146082477,Spirit AeroSystems Holdings,0.57
229,8.638115211768442,American Eagle Outfitters,0.8677
230,0.0004059914149531167,Hubbell,0.5772
231,0.004822947659904046,Southwest Gas Holdings,0.4829
232,0.0020875445095107064,Patrick Industries,0.5774
233,0.012237329883338624,Hologic,0.742
234,0.003095324617550358,Spectrum Brands Holdings,0.7593
235,0.0009357958146082478,GMS,0.4559
236,0.006910492169414753,Maximus,0.6987
237,0.04678979073041238,Terex,0.7264
238,0.07918272277454404,Fortinet,0.6366
239,0.0,Bloomin' Brands,0.7719
240,0.004750963366472642,Arista Networks,0.6299
241,0.0051108848336296605,Valmont Industries,0.7419
242,0.002807387443824743,Matson,0.5842
243,0.009142005265788266,Las Vegas Sands,0.8439
244,0.007918272277454404,Bread Financial Holdings,0.8344
245,0.0,Pinnacle West Capital,0.7647
246,0.028793717372561468,Louisiana-Pacific,0.721
247,0.02591434563530532,Public Storage,0.7379
248,0.0007198429343140368,Comfort Systems USA,0.4829
249,0.0,Service Corp. International,0.7688
250,0.013245109991378276,Advantage Solutions,0.855
251,0.04009525144129184,SiteOne Landscape Supply,0.4829
252,0.01727623042353688,Acuity Brands,0.6876
253,0.0,Topgolf Callaway Brands,0.4829
254,0.01670035607608565,Charles River Laboratories International,0.7685
256,0.0006118664941669312,Brown-Forman,0.5623
258,0.38871518452957987,Dentsply Sirona,0.7734
259,0.007198429343140367,Mettler-Toledo International,0.889
260,0.02447465976667725,Atkore,0.7859
261,0.11805424122750202,Country Financial,0.6557
262,0.0017276230423536882,ATI,0.6001
263,0.8782083798631247,Sally Beauty Holdings,0.8455
264,0.0,Dycom Industries,0.6791
265,0.0014396858686280736,ChampionX,0.5992
267,0.295135603068755,Wynn Resorts,0.6647
268,0.01079764401471055,Visteon,0.6428
270,0.6428197403424347,Peloton Interactive,0.8598
271,0.11517486949024587,ResMed,0.603
272,0.19435759226478994,Grocery Outlet Holding,0.5779
273,0.6521776984885173,Cadence Design Systems,0.7641
274,0.015548607381183193,Selective Insurance Group,0.698
275,0.0012237329883338624,MKS Instruments,0.6118
276,0.16988293249811265,Pitney Bowes,0.764
277,0.02785792155795322,Tetra Tech,0.8554
278,0.705446075627756,Copart,0.7626
279,0.05830727767943698,First Horizon,0.5897
280,0.006406602115394926,Vishay Intertechnology,0.6991
281,0.0,Columbia Sportswear,0.5998
282,0.39591361387272017,H&R Block,0.7813
283,0.0014396858686280736,Kaiser Aluminum,0.6629
284,0.0005542790594218083,Fleetcor Technologies,0.4829
285,0.09357958146082476,IDEXX Laboratories,0.7646
286,0.00410310472559001,MRC Global,0.7955
287,0.0,Popular,0.6598
288,0.0004988511534796275,Central Garden & Pet,0.6509
289,0.018499963411870744,Zions Bancorp.,0.7663
291,0.031313167642660594,Designer Brands,0.5999
292,0.00031457136229523405,Donaldson,0.4899
293,3.383261791275973,Cheesecake Factory,0.8606
294,0.006982476462846156,Granite Construction,0.7744
295,0.004822947659904046,TEGNA,0.627
296,2.1235366562264084,Cracker Barrel Old Country Store,0.7808
297,0.0006046680648237908,Western Midstream Partners,0.8577
298,0.0014396858686280736,Magellan Midstream Partners,0.7551
299,0.097898639066709,WeWork,0.5774
301,0.0,G-III Apparel Group,0.8652
302,0.0,Quad/Graphics,0.7269
303,0.2980149748060112,Coinbase Global,0.7691
304,0.0,Vontier,0.8328
305,0.0007112048191022682,Deckers Outdoor,0.6869
306,0.13892968632260908,Alight,0.5941
307,0.626263352853212,Roku,0.7654
308,3.750381687776131,Deere,0.8182
309,1.4828764446869156,Cisco Systems,0.7586
310,0.7126445049708964,Nationwide,0.7699
311,0.011301534068730378,Allstate,0.4829
312,2.4474659766677247,Delta Air Lines,0.7729
313,1.2957172817652662,Liberty Mutual Insurance Group,0.7202
314,2.4330691179814443,TJX,0.7777
315,0.37143895410604294,Progressive,0.7745
316,1.9939649280498817,American Airlines Group,0.7728
317,0.004031120432158606,CHS,0.7161
318,0.004391041899315624,Performance Food Group,0.8005
319,0.0,PBF Energy,0.695
320,27.354031503933395,Nike,0.7729
321,5.902712061375102,Best Buy,0.7674
322,0.10077801080396515,Bristol-Myers Squibb,0.8283
323,1.1445502655593183,United Airlines Holdings,0.4829
324,0.11517486949024587,Thermo Fisher Scientific,0.773
325,1.9939649280498817,Qualcomm,0.7771
326,0.25914345635305325,Abbott Laboratories,0.5808
327,0.8710099505199844,Coca-Cola,0.8712
328,0.004031120432158606,WESCO International,0.6899
329,0.11517486949024587,Murphy USA,0.6764
330,0.016124481728634423,WestRock,0.6321
331,0.021739256616283908,International Paper,0.7888
332,0.12237329883338624,Baker Hughes,0.5775
333,0.04139096872305711,United States Steel,0.5773
334,0.004822947659904046,NextEra Energy,0.7634
335,0.0,Targa Resources,0.4829
336,0.06831309446640209,Lear,0.838
337,0.12237329883338624,Jones Lang LaSalle,0.6529
338,2.231513096373514,Goodyear Tire & Rubber,0.7394
339,0.3455246084707376,Marriott International,0.6683
340,0.008782083798631247,Marsh & McLennan,0.8167
341,0.003239293204413165,Altria Group,0.7671
343,0.05024503681511976,Carrier Global,0.7802
344,0.23034973898049174,Halliburton,0.6591
345,0.014396858686280734,Delek US Holdings,0.6204
346,0.4822947659904046,Kimberly-Clark,0.545
347,0.19435759226478994,Texas Instruments,0.8143
348,0.057155528984534514,Guardian Life Ins. Co. of America,0.6938
349,0.02447465976667725,Jackson Financial,0.4829
350,0.020659492214812857,Fidelity National Information Services,0.5161
351,0.0025914345635305322,Berry Global Group,0.5783
352,0.0,Sempra,0.7688
353,0.046069947796098354,IQVIA Holdings,0.5776
354,0.5038900540198257,O'Reilly Automotive,0.7791
355,0.011661455535887396,Leidos Holdings,0.5783
356,0.10077801080396515,Ameriprise Financial,0.7318
357,0.006046680648237908,Omnicom Group,0.7025
358,0.9861848200102302,Tractor Supply,0.7707
359,0.021811240909715313,Corning,0.5872
360,0.04225478024423396,Ecolab,0.4829
361,0.033472696445602704,Icahn Enterprises,0.4829
362,1.4252890099417928,Farmers Insurance Exchange,0.7672
363,9.357958146082478,Keurig Dr Pepper,0.6628
364,0.045278120568352904,Loews,0.7848
365,0.03793572263834973,Equitable Holdings,0.4829
366,0.04167890589678273,Sonic Automotive,0.7706
367,2.037155504108724,Fox,0.4796
368,0.003095324617550358,News Corp.,0.6935
369,0.13892968632260908,Toll Brothers,0.7605
370,2.6778157156482165,Ulta Beauty,0.5794
371,0.020731476508244258,Assurant,0.7692
372,0.01468479586000635,Weyerhaeuser,0.8652
373,0.01626845031549723,Biogen,0.7503
374,0.020875445095107067,Dana,0.6743
375,0.01605249743520302,UGI,0.4829
376,1.2237329883338623,Chewy,0.5773
377,0.001511670162059477,Owens & Minor,0.6837
378,0.027354031503933396,Quest Diagnostics,0.5773
379,0.0863811521176844,Public Service Enterprise Group,0.4309
380,7.198429343140367,eBay,0.6341
381,0.0038871518452957983,MasTec,0.7747
382,0.017780120477556706,Owens Corning,0.5871
383,0.004678979073041239,Celanese,0.7716
384,0.0018715916292164957,Altice USA,0.8581
385,11.877408416181607,Alaska Air Group,0.5773
386,0.005974696354806504,SpartanNash,0.7809
387,0.0,Diamondback Energy,0.4829
388,0.004175089019021413,First American Financial,0.6829
389,7.198429343140367,Bath & Body Works,0.5772
390,0.21019413681969873,Regions Financial,0.5838
391,0.04391041899315624,Activision Blizzard,0.8329
392,0.003023340324118954,Avantor,0.849
393,0.0863811521176844,Genworth Financial,0.1
394,0.0059027120613751,EQT,0.6066
395,5.513996876845521,Skechers U.S.A.,0.5912
396,0.007918272277454404,Landstar System,0.5928
397,0.11085581188436167,Knight-Swift Transportation Holdings,0.5966
398,0.0,SVB Financial Group,0.6525
399,0.0,Par Pacific Holdings,0.7546
400,0.00295135603068755,Albemarle,0.4829
401,0.0053268377139238715,Vulcan Materials,0.4648
402,0.0,Watsco,0.634
403,0.0,KKR,0.7532
404,0.029081654546287083,Equinix,0.7713
405,0.011877408416181606,Sonoco Products,0.6459
406,0.02339489536520619,ServiceNow,0.772
408,0.10797644014710552,Warner Music Group,0.6911
409,0.5254853420492468,Hyatt Hotels,0.7618
410,0.0002728204721050199,Welltower,0.7592
411,0.06600959707659716,Evergy,0.4829
412,2.3034973898049174,Hasbro,0.6255
413,0.0017276230423536882,NiSource,0.4829
414,0.0015836544554908808,Fortive,0.725
415,0.02058750792138145,American Axle & Manufacturing,0.6215
416,0.02512251840755988,FMC,0.5812
418,0.03699992682374149,Zebra Technologies,0.5806
419,9.357958146082478,Harley-Davidson,0.7803
421,8.638115211768442,Under Armour,0.7116
422,0.0,MDC Holdings,0.4832
423,0.00410310472559001,Broadridge Financial Solutions,0.5772
424,0.030665309001777965,Vertiv Holdings,0.5775
425,0.09357958146082476,Ingles Markets,0.4829
426,0.004750963366472642,Howmet Aerospace,0.7575
427,0.010221769667259321,Sealed Air,0.6273
428,0.02058750792138145,Paychex,0.8081
430,0.0,Rithm Capital,0.8491
431,0.10941612601573358,Snap,0.6045
432,0.00705446075627756,eXp World Holdings,0.8488
